id,Company,TypeName,Inches,touchscreen,cpu_brand,cpu_name,cpu_speed,ram,secondar_storage,primary_storage,memory_type,gpu_brand,gpu_name,OpSys,weight,Price,ppi,touchscreen_cat
44,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce 940MX,,2.2,33513.0,141.21199808219862,Non-touch
45,HP,Notebook,17.3,0,Intel,Core i7,1.8,16,0,512.0,SSD,Nvidia, GeForce 930MX ,windows,2.5,67719.0,127.33567457123111,Non-touch
46,Lenovo,2 in 1 Convertible,14.0,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.7,47899.0,157.3505121487356,Non-touch
47,Acer,Notebook,15.6,0,AMD,A9-Series 9420,3.0,4,0,256.0,SSD,AMD, Radeon R5,windows,2.1,24029.0,100.45466986113651,Non-touch
48,Toshiba,Ultrabook,13.3,0,Intel,Core i7,2.5,8,0,256.0,SSD,Intel, HD Graphics 520,windows,1.2,72621.0,165.6321180513006,Non-touch
49,Asus,Gaming,15.6,0,Intel,Core i7,2.8,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1050 Ti,windows,2.5,67399.0,141.21199808219862,Non-touch
50,HP,Notebook,14.0,0,Intel,Core i5,1.6,8,0,1024.0,HDD,Intel, UHD Graphics 620,windows,1.6,43263.0,157.3505121487356,Non-touch
51,Lenovo,Notebook,15.6,0,Intel,Pentium Quad,1.1,4,0,1024.0,HDD,Intel, HD Graphics 505,,2.2,19180.0,100.45466986113651,Non-touch
52,HP,Notebook,15.6,0,Intel,Core i5,1.6,8,0,1024.0,HDD,Intel, UHD Graphics 620,windows,2.1,42304.0,141.21199808219862,Non-touch
53,Asus,Notebook,14.0,0,AMD,E-Series 6110,1.5,4,0,64.0,SSD,AMD, Radeon R2,windows,1.7,14811.0,111.93520355955211,Non-touch
54,Dell,Gaming,17.3,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1060,windows,4.4,130874.0,127.33567457123111,Non-touch
55,Dell,Notebook,17.3,0,Intel,Core i7,1.8,16,2048,256.0,Hybrid,AMD, Radeon 530,windows,2.8,74379.0,127.33567457123111,Non-touch
56,HP,2 in 1 Convertible,13.3,1,Intel,Core i7,2.8,16,0,256.0,SSD,Intel, HD Graphics 620,windows,1.3,105228.0,165.6321180513006,Touchscreen
57,Acer,Notebook,15.6,0,Intel,Core i7,2.7,8,0,256.0,SSD,Nvidia, GeForce 940MX,windows,2.2,44329.0,141.21199808219862,Non-touch
58,HP,Notebook,17.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,2.5,49444.0,127.33567457123111,Non-touch
59,Dell,Notebook,15.6,1,Intel,Core i7,2.7,16,0,1024.0,HDD,AMD, Radeon R7 M445,windows,2.3,45768.0,141.21199808219862,Touchscreen
60,Dell,Notebook,15.6,0,Intel,Core i5,2.5,8,0,1024.0,HDD,AMD, Radeon R7 M445,windows,2.4,34045.0,100.45466986113651,Non-touch
61,Toshiba,Notebook,15.6,0,Intel,Core i7,2.5,8,0,256.0,SSD,Nvidia, GeForce 930M,windows,2.2,55571.0,141.21199808219862,Non-touch
62,Dell,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,AMD, Radeon R5 M430,windows,2.2,23923.0,141.21199808219862,Non-touch
63,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,8,1024,128.0,Hybrid,Nvidia, GeForce 940MX,windows,2.3,43636.0,141.21199808219862,Non-touch
64,Asus,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce 920MX ,windows,2.0,40972.0,141.21199808219862,Non-touch
65,Asus,Notebook,17.3,0,Intel,Core i5,2.5,8,500,256.0,Hybrid,Nvidia, GeForce GTX 950M,windows,2.7,47472.0,127.33567457123111,Non-touch
66,HP,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,windows,1.9,24988.0,141.21199808219862,Non-touch
67,Acer,Ultrabook,14.0,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.6,47100.0,157.3505121487356,Non-touch
68,Lenovo,Notebook,13.3,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.1,53227.0,165.6321180513006,Non-touch
69,HP,Notebook,15.6,0,Intel,Core i7,2.7,8,0,1024.0,HDD,AMD, FirePro W4190M ,windows,1.9,67612.0,141.21199808219862,Non-touch
70,Asus,Notebook,15.6,0,Intel,Core i3,2.4,4,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.4,21258.0,100.45466986113651,Non-touch
71,Acer,Notebook,15.6,0,Intel,Core i3,2.7,4,0,256.0,SSD,Nvidia, GeForce MX130,windows,5.5,30476.0,141.21199808219862,Non-touch
72,HP,Notebook,15.6,0,AMD,E-Series 9000e,1.5,4,0,500.0,HDD,AMD, Radeon R2,windows,2.1,17582.0,100.45466986113651,Non-touch
73,HP,Notebook,15.6,0,Intel,Core i7,2.7,8,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.1,31861.0,100.45466986113651,Non-touch
74,HP,Notebook,14.0,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.6,52641.0,157.3505121487356,Non-touch
75,Lenovo,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1060,windows,3.2,79867.0,141.21199808219862,Non-touch
76,Lenovo,Notebook,15.6,0,Intel,Celeron Dual,1.1,4,0,1024.0,HDD,Intel, HD Graphics 500,,1.9,13446.0,100.45466986113651,Non-touch
77,Dell,Notebook,14.0,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.6,45768.0,157.3505121487356,Non-touch
78,Acer,2 in 1 Convertible,13.3,1,Intel,Core i5,2.3,8,0,256.0,SSD,Intel, HD Graphics 520,windows,1.6,36710.0,165.6321180513006,Touchscreen
79,Asus,Gaming,17.3,0,Intel,Core i5,2.5,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1050,windows,3.0,49977.0,127.33567457123111,Non-touch
80,Dell,Notebook,15.6,0,Intel,Core i7,2.7,16,0,256.0,SSD,AMD, Radeon R7 M445,linux,2.4,47899.0,141.21199808219862,Non-touch
81,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,4,0,1024.0,HDD,Nvidia, GeForce 920MX,,2.2,26587.0,141.21199808219862,Non-touch
82,HP,Notebook,13.3,0,Intel,Core i5,2.5,4,0,256.0,SSD,Intel, HD Graphics 620,windows,1.3,37243.0,165.6321180513006,Non-touch
83,Acer,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,linux,2.1,20779.0,100.45466986113651,Non-touch
84,Acer,Notebook,17.3,0,Intel,Core i3,2.7,4,0,1024.0,HDD,Nvidia, GeForce MX130,windows,3.0,34898.0,127.33567457123111,Non-touch
85,Asus,Notebook,15.6,0,AMD,A10-Series A10-9620P,2.5,4,1024,128.0,Hybrid,AMD, Radeon R5 M430,windows,2.2,30636.0,141.21199808219862,Non-touch
86,Lenovo,Notebook,14.0,0,Intel,Core i5,1.6,8,0,256.0,SSD,AMD, Radeon RX 550,windows,1.8,59462.0,157.3505121487356,Non-touch
87,Asus,Gaming,17.3,0,Intel,Core i7,2.9,20,1024,512.0,Hybrid,Nvidia, GeForce GTX 1080,windows,4.7,207259.0,127.33567457123111,Non-touch
88,Lenovo,Gaming,15.6,0,Intel,Core i7,2.8,8,0,256.0,SSD,Nvidia, GeForce GTX 1050M,,2.4,46300.0,141.21199808219862,Non-touch
89,Acer,Gaming,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce GTX 1050,windows,2.5,45075.0,141.21199808219862,Non-touch
90,Toshiba,Notebook,15.6,0,Intel,Core i5,2.3,4,0,500.0,HDD,Intel, HD Graphics 520,windows,2.1,32075.0,100.45466986113651,Non-touch
91,Lenovo,Notebook,15.6,0,Intel,Core i3,2.0,8,0,128.0,SSD,Intel, HD Graphics 520,windows,5.5,31382.0,100.45466986113651,Non-touch
92,HP,Notebook,15.6,0,AMD,A6-Series 9220,2.5,4,0,256.0,SSD,AMD, Radeon R4 Graphics,windows,1.9,19660.0,100.45466986113651,Non-touch
93,Asus,Ultrabook,14.0,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.3,58555.0,157.3505121487356,Non-touch
94,HP,Ultrabook,12.5,1,Intel,Core M,1.2,8,0,512.0,SSD,Intel, HD Graphics 515,windows,1.0,107306.0,202.37276851499232,Touchscreen
95,Asus,Notebook,17.3,0,Intel,Core i7,1.8,8,1024,128.0,Hybrid,Nvidia, GeForce 150MX,windows,2.1,61006.0,127.33567457123111,Non-touch
96,Asus,Notebook,15.6,0,Intel,Celeron Dual,1.1,4,0,1024.0,HDD,Intel, HD Graphics 500,windows,2.0,18328.0,141.21199808219862,Non-touch
97,Asus,Notebook,17.3,0,Intel,Core i7,2.7,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 950M,,2.7,47366.0,127.33567457123111,Non-touch
98,Acer,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,windows,2.1,23816.0,100.45466986113651,Non-touch
99,Dell,Gaming,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce GTX 1050,windows,2.6,46833.0,141.21199808219862,Non-touch
100,Lenovo,2 in 1 Convertible,13.9,1,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.4,57489.0,158.48253022174808,Touchscreen
101,Dell,Ultrabook,13.3,1,Intel,Core i7,1.8,16,0,1024.0,SSD,Intel, UHD Graphics 620,windows,1.2,133147.0,202.37276851499232,Touchscreen
102,Dell,Gaming,15.6,0,Intel,Core i7,2.8,16,0,512.0,SSD,Nvidia, GeForce GTX 1050,windows,2.6,66561.0,141.21199808219862,Non-touch
103,Asus,Ultrabook,14.0,0,Intel,Core i7,1.8,16,0,512.0,SSD,Nvidia, GeForce MX150,windows,1.3,79654.0,157.3505121487356,Non-touch
104,MSI,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1070,windows,2.8,111835.0,141.21199808219862,Non-touch
105,Acer,Notebook,15.6,0,AMD,A8-Series 7410,2.2,8,0,256.0,SSD,AMD, Radeon R5,windows,2.2,24988.0,141.21199808219862,Non-touch
106,Dell,Gaming,15.6,0,Intel,Core i7,2.8,8,0,1024.0,Hybrid,Nvidia, GeForce GTX 1050,windows,2.6,47899.0,141.21199808219862,Non-touch
107,Asus,2 in 1 Convertible,11.6,1,Intel,Celeron Dual,1.1,2,0,32.0,Flash Storage,Intel, HD Graphics 500,windows,1.1,14652.0,135.0942111925629,Touchscreen
108,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,4,0,128.0,SSD,Intel, HD Graphics 620,windows,1.9,26533.0,100.45466986113651,Non-touch
109,MSI,Gaming,17.3,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1060,windows,2.8,100699.0,127.33567457123111,Non-touch
110,Acer,Ultrabook,14.0,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.6,41026.0,157.3505121487356,Non-touch
111,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,2048,128.0,Hybrid,AMD, Radeon 530,windows,2.2,52481.0,141.21199808219862,Non-touch
112,HP,Notebook,15.6,0,Intel,Core i5,2.5,4,0,500.0,HDD,Intel, HD Graphics 620,,1.9,20987.0,100.45466986113651,Non-touch
113,HP,Notebook,15.6,1,Intel,Core i5,2.5,8,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.0,29784.0,100.45466986113651,Touchscreen
114,HP,Notebook,15.6,0,Intel,Core i3,2.0,4,0,500.0,HDD,Intel, HD Graphics 520,,1.9,18381.0,141.21199808219862,Non-touch
115,Asus,Gaming,17.3,0,Intel,Core i7,2.9,16,0,256.0,SSD,Nvidia, GeForce GTX 1080,windows,3.6,159787.0,127.33567457123111,Non-touch
116,Dell,Notebook,15.6,0,Intel,Core i5,1.6,8,1024,128.0,Hybrid,AMD, Radeon 530,windows,2.3,44968.0,141.21199808219862,Non-touch
117,HP,Notebook,13.3,0,Intel,Core i5,1.6,4,0,500.0,HDD,Intel, UHD Graphics 620,windows,1.5,35964.0,165.6321180513006,Non-touch
118,Apple,Ultrabook,15.4,0,Intel,Core i7,2.8,16,0,256.0,SSD,AMD, Radeon Pro 555,macos,1.8,130002.0,202.37276851499232,Non-touch
119,Dell,Notebook,15.6,0,Intel,Core i3,2.0,4,0,256.0,SSD,AMD, Radeon R5 M430,windows,2.2,26581.0,141.21199808219862,Non-touch
120,Apple,Ultrabook,13.3,0,Intel,Core i5,3.1,8,0,512.0,SSD,Intel, Iris Plus Graphics 650,macos,1.4,108691.0,202.37276851499232,Non-touch
121,HP,2 in 1 Convertible,13.3,1,Intel,Core i7,1.8,16,0,1024.0,SSD,Intel, UHD Graphics 620,windows,1.3,130483.0,202.37276851499232,Touchscreen
122,Apple,Ultrabook,12.0,0,Intel,Core M,1.2,8,0,256.0,SSD,Intel, HD Graphics 615,macos,0.9,67261.0,202.37276851499232,Non-touch
123,Apple,Ultrabook,13.3,0,Intel,Core i5,2.3,8,0,256.0,SSD,Intel, Iris Plus Graphics 640,macos,1.4,80908.0,202.37276851499232,Non-touch
124,Lenovo,Notebook,13.3,0,Intel,Celeron Dual,1.6,4,0,16.0,Flash Storage,Intel, HD Graphics 510,other,1.5,24503.0,117.82653006268643,Non-touch
125,HP,Notebook,14.0,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,2.0,52214.0,157.3505121487356,Non-touch
126,Dell,2 in 1 Convertible,15.6,1,Intel,Core i7,1.8,8,0,1024.0,HDD,Intel, UHD Graphics 620,windows,2.1,43636.0,141.21199808219862,Touchscreen
127,Asus,Gaming,17.3,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 980M,windows,4.3,95851.0,127.33567457123111,Non-touch
128,Dell,Notebook,15.6,0,Intel,Core i7,2.7,8,0,256.0,SSD,AMD, Radeon R5 M430,windows,2.2,39694.0,141.21199808219862,Non-touch
129,Asus,Notebook,15.6,0,AMD,A9-Series 9420,3.0,4,0,1024.0,HDD,AMD, Radeon R5 M420,windows,1.7,24988.0,100.45466986113651,Non-touch
130,Apple,Ultrabook,15.4,0,Intel,Core i7,2.9,16,0,512.0,SSD,AMD, Radeon Pro 560,macos,1.8,152274.0,202.37276851499232,Non-touch
131,Acer,Notebook,11.6,0,Intel,Pentium Quad,1.6,4,0,128.0,Flash Storage,Intel, HD Graphics 405,windows,1.4,25841.0,135.0942111925629,Non-touch
132,HP,Notebook,14.0,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.5,68838.0,157.3505121487356,Non-touch
133,Lenovo,Notebook,15.6,0,Intel,Core i3,2.4,8,0,1024.0,HDD,Nvidia, GeForce 940MX,,2.2,26587.0,141.21199808219862,Non-touch
134,Dell,Ultrabook,13.3,1,Intel,Core i5,1.6,8,0,128.0,SSD,Intel, UHD Graphics 620,windows,1.2,52161.0,165.6321180513006,Touchscreen
135,Lenovo,Gaming,15.6,0,Intel,Core i5,2.5,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1050,windows,2.5,53227.0,141.21199808219862,Non-touch
136,HP,Notebook,15.6,0,AMD,E-Series E2-9000e,1.5,4,0,500.0,HDD,AMD, Radeon R2,,1.9,13746.0,100.45466986113651,Non-touch
137,Lenovo,Notebook,17.3,0,Intel,Core i5,2.5,4,0,1024.0,HDD,Nvidia, GeForce 920MX,windows,2.8,31382.0,106.11306214269258,Non-touch
138,Asus,Notebook,14.0,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,2.0,58288.0,157.3505121487356,Non-touch
139,Dell,2 in 1 Convertible,13.3,1,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.6,43636.0,165.6321180513006,Touchscreen
140,HP,Ultrabook,14.0,0,Intel,Core i5,2.7,4,0,256.0,SSD,Intel, HD Graphics 620,windows,1.5,57649.0,157.3505121487356,Non-touch
141,HP,Ultrabook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.9,35112.0,141.21199808219862,Non-touch
142,HP,Notebook,15.6,0,Intel,Core i7,1.8,8,0,1024.0,HDD,Intel, UHD Graphics 620,windows,2.1,48059.0,100.45466986113651,Non-touch
143,Acer,Notebook,15.6,0,AMD,A12-Series 9720P,2.7,8,0,256.0,SSD,AMD, Radeon RX 540,windows,2.2,35112.0,100.45466986113651,Non-touch
144,Dell,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,windows,2.3,22305.0,100.45466986113651,Non-touch
145,HP,Notebook,15.6,0,Intel,Core i5,1.6,6,0,256.0,SSD,AMD, Radeon 520,windows,1.9,32980.0,141.21199808219862,Non-touch
146,Apple,Ultrabook,13.3,0,Intel,Core i5,1.6,8,0,128.0,Flash Storage,Intel, HD Graphics 6000,macos,1.4,58555.0,127.67794013309688,Non-touch
147,Dell,Notebook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,AMD, Radeon 530,windows,2.2,42624.0,141.21199808219862,Non-touch
148,Lenovo,2 in 1 Convertible,14.0,1,Intel,Core i3,2.4,4,0,256.0,SSD,Intel, HD Graphics 620,windows,1.7,33513.0,157.3505121487356,Touchscreen
149,Lenovo,Notebook,14.0,0,Intel,Celeron Dual,1.1,4,0,32.0,Flash Storage,Intel, HD Graphics 500,windows,1.4,15558.0,111.93520355955211,Non-touch
150,Asus,2 in 1 Convertible,13.3,1,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.1,70063.0,165.6321180513006,Touchscreen
151,Acer,Notebook,15.6,0,Intel,Core i5,2.5,6,0,1024.0,HDD,Intel, HD Graphics 620,windows,5.5,29251.0,100.45466986113651,Non-touch
152,Dell,Ultrabook,15.6,0,Intel,Core i7,1.9,8,256,256.0,SSD,Intel, UHD Graphics 620,windows,1.9,69157.0,141.21199808219862,Non-touch
153,Dell,2 in 1 Convertible,15.6,1,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.6,55891.0,141.21199808219862,Touchscreen
154,HP,Notebook,17.3,0,Intel,Core i5,1.6,8,0,1024.0,HDD,Nvidia, GeForce 930MX,windows,2.5,47739.0,127.33567457123111,Non-touch
155,Asus,Ultrabook,15.6,0,Intel,Core i7,2.7,8,0,256.0,SSD,Nvidia, GeForce 940MX,windows,1.7,55939.0,141.21199808219862,Non-touch
156,Chuwi,Notebook,15.6,0,Intel,Atom x5-Z8300,1.4,4,0,64.0,Flash Storage,Intel, HD Graphics,windows,1.9,13053.0,141.21199808219862,Non-touch
157,Toshiba,Notebook,15.6,0,Intel,Core i3,2.2,4,0,500.0,HDD,Intel, HD Graphics 520,windows,2.1,23816.0,100.45466986113651,Non-touch
158,Asus,Notebook,14.0,0,AMD,E-Series E2-6110,1.5,2,0,32.0,Flash Storage,AMD, Radeon R2,windows,1.7,10603.0,111.93520355955211,Non-touch
159,HP,Ultrabook,12.5,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.3,71129.0,176.23257360658386,Non-touch
160,Dell,Notebook,15.6,1,Intel,Core i7,2.8,20,0,1024.0,SSD,Nvidia, GeForce GTX 1050,windows,2.1,140606.0,202.37276851499232,Touchscreen
161,HP,Notebook,17.3,0,AMD,A6-Series 9220,2.5,4,0,500.0,HDD,AMD, Radeon 530,windows,2.7,23390.0,127.33567457123111,Non-touch
162,Asus,Notebook,15.6,0,AMD,A9-Series 9420,3.0,4,0,1024.0,HDD,AMD, Radeon R5 M420,windows,2.0,21472.0,100.45466986113651,Non-touch
163,Acer,Notebook,17.3,0,Intel,Core i5,1.6,4,0,256.0,SSD,Nvidia, GeForce MX150,windows,3.0,42890.0,127.33567457123111,Non-touch
