"id";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"ram";"secondar_storage";"primary_storage";"memory_type";"gpu_brand";"gpu_name";"OpSys";"weight";"Price"
12;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"Intel";" HD Graphics 520";"windows";1.9;22105.872
13;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Nvidia";" GeForce 940MX";"windows";1.3;63563.04
14;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 1050 Ti";"windows";2.2;69210.72
15;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.6;78854.4
16;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce MX150";"windows";1.5;67239.36
17;"Dell";"Workstation";15.6;3840;2160;0;"Intel";"Xeon E3-1505M";3.0;16;"1024";"256";"Hybrid";"Nvidia";" Quadro M1200";"windows";2.8;162770.4
18;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"0";"512";"SSD";"Nvidia";" GeForce GTX 1060";"N/A";2.4;74485.44
19;"Dell";"Notebook";15.6;1366;768;1;"Intel";"Core i3";2.4;6;"0";"1024";"HDD";"Intel";" HD Graphics 620";"windows";2.3;23389.92
20;"Dell";"Ultrabook";13.3;3840;2160;1;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.2;103842.72
21;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";0.0;77202.72
22;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"0";"1024";"HDD";"Nvidia";" GeForce GTX 1050";"linux";2.4;41505.12
23;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 1050";"windows";2.9;74964.96
24;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"500";"HDD";"Intel";" HD Graphics 520";"N/A";2.1;18594.72
25;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"N/A";2.2;29250.72
26;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";2.4;8;"0";"256";"SSD";"Intel";" Iris Plus Graphics 640";"windows";1.2;73473.12
27;"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";"Core i7";2.7;8;"0";"512";"SSD";"Intel";" HD Graphics 620";"windows";1.1;79866.72
28;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.4;74538.72
29;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"AMD";" Radeon 530";"windows";1.4;49650.5664
30;"HP";"Notebook";14.0;1366;768;0;"Intel";"Core i5";1.6;4;"0";"500";"HDD";"Intel";" UHD Graphics 620";"windows";1.6;38468.16
31;"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;8;"0";"1024";"HDD";"Nvidia";" GeForce GTX 940MX";"N/A";2.8;31381.92
32;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.2;86793.12
33;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Nvidia";" GeForce 930MX";"windows";1.6;54931.68
34;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"512";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;57755.52
35;"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;61218.72
36;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"1024";"256";"Hybrid";"Nvidia";" GeForce 940MX";"windows";2.2;60223.9824
37;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"0";"2048";"HDD";"Nvidia";" GeForce 940MX";"N/A";2.2;29250.72
38;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;16;"0";"512";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;68145.12
39;"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"Nvidia";" GeForce 920MX";"windows";2.0;30049.92
40;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Nvidia";" GeForce 940MX";"windows";1.7;59567.04
41;"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";2.4;6;"0";"1024";"HDD";"Intel";" HD Graphics 620";"windows";2.1;25521.12
42;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"2048";"256";"Hybrid";"Nvidia";" GeForce GTX 1070";"windows";1.8;119427.12
43;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"AMD";" Radeon 520";"linux";2.2;36089.208
44;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Nvidia";" GeForce 940MX";"N/A";2.2;33513.12
45;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"0";"512";"SSD";"Nvidia";" GeForce 930MX ";"windows";2.5;67718.88
46;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.7;47898.72
47;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"0";"256";"SSD";"AMD";" Radeon R5";"windows";2.1;24029.28
48;"Toshiba";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 520";"windows";1.2;72620.64
49;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"1024";"128";"Hybrid";"Nvidia";" GeForce GTX 1050 Ti";"windows";2.5;67399.2
50;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"1024";"HDD";"Intel";" UHD Graphics 620";"windows";1.6;43263.36
51;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"0";"1024";"HDD";"Intel";" HD Graphics 505";"N/A";2.2;19180.2672
52;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"1024";"HDD";"Intel";" UHD Graphics 620";"windows";2.1;42304.32
53;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series 6110";1.5;4;"0";"64";"SSD";"AMD";" Radeon R2";"windows";1.7;14811.3072
54;"Dell";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 1060";"windows";4.4;130873.7952
55;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"2048";"256";"Hybrid";"AMD";" Radeon 530";"windows";2.8;74378.88
56;"HP";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";2.8;16;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.3;105228.0
57;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Nvidia";" GeForce 940MX";"windows";2.2;44328.96
58;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";2.5;49443.84
59;"Dell";"Notebook";15.6;1920;1080;1;"Intel";"Core i7";2.7;16;"0";"1024";"HDD";"AMD";" Radeon R7 M445";"windows";2.3;45768.0528
60;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"0";"1024";"HDD";"AMD";" Radeon R7 M445";"windows";2.4;34045.3872
61;"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.5;8;"0";"256";"SSD";"Nvidia";" GeForce 930M";"windows";2.2;55571.04
62;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"AMD";" Radeon R5 M430";"windows";2.2;23922.72
63;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"1024";"128";"Hybrid";"Nvidia";" GeForce 940MX";"windows";2.3;43636.32
64;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Nvidia";" GeForce 920MX ";"windows";2.0;40972.32
65;"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"500";"256";"Hybrid";"Nvidia";" GeForce GTX 950M";"windows";2.7;47472.48
66;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"Intel";" HD Graphics 520";"windows";1.9;24988.32
67;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;47099.52
68;"Lenovo";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.1;53226.72
69;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"1024";"HDD";"AMD";" FirePro W4190M ";"windows";1.9;67612.32
70;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"0";"1024";"HDD";"Intel";" HD Graphics 620";"windows";2.4;21258.1872
71;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"0";"256";"SSD";"Nvidia";" GeForce MX130";"windows";7.2;30476.16
72;"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series 9000e";1.5;4;"0";"500";"HDD";"AMD";" Radeon R2";"windows";2.1;17582.4
73;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.7;8;"0";"1024";"HDD";"Intel";" HD Graphics 620";"windows";2.1;31861.44
74;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;52640.64
75;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 1060";"windows";3.2;79866.72
76;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"0";"1024";"HDD";"Intel";" HD Graphics 500";"N/A";1.9;13445.7408
77;"Dell";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.6;45767.52
78;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.3;8;"0";"256";"SSD";"Intel";" HD Graphics 520";"windows";1.6;36709.92
79;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"1024";"128";"Hybrid";"Nvidia";" GeForce GTX 1050";"windows";3.0;49976.64
80;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;16;"0";"256";"SSD";"AMD";" Radeon R7 M445";"linux";2.4;47898.72
81;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"0";"1024";"HDD";"Nvidia";" GeForce 920MX";"N/A";2.2;26586.72
82;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;4;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.3;37242.72
83;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"Intel";" HD Graphics 520";"linux";2.1;20779.2
84;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"0";"1024";"HDD";"Nvidia";" GeForce MX130";"windows";3.0;34898.4
85;"Asus";"Notebook";15.6;1920;1080;0;"AMD";"A10-Series A10-9620P";2.5;4;"1024";"128";"Hybrid";"AMD";" Radeon R5 M430";"windows";2.2;30636.0
86;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"AMD";" Radeon RX 550";"windows";1.8;59461.5456
87;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;32;"1024";"512";"Hybrid";"Nvidia";" GeForce GTX 1080";"windows";4.7;207259.2
88;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"0";"256";"SSD";"Nvidia";" GeForce GTX 1050M";"N/A";2.4;46300.32
89;"Acer";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Nvidia";" GeForce GTX 1050";"windows";2.5;45074.88
90;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.3;4;"0";"500";"HDD";"Intel";" HD Graphics 520";"windows";2.1;32074.56
91;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;8;"0";"128";"SSD";"Intel";" HD Graphics 520";"windows";7.2;31381.92
92;"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.5;4;"0";"256";"SSD";"AMD";" Radeon R4 Graphics";"windows";1.9;19660.32
93;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.3;58554.72
94;"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";1.2;8;"0";"512";"SSD";"Intel";" HD Graphics 515";"windows";1.0;107305.92
95;"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"1024";"128";"Hybrid";"Nvidia";" GeForce 150MX";"windows";2.1;61005.6
96;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"0";"1024";"HDD";"Intel";" HD Graphics 500";"windows";2.0;18328.32
97;"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";2.7;8;"1024";"128";"Hybrid";"Nvidia";" GeForce GTX 950M";"N/A";2.7;47365.92
98;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"Intel";" HD Graphics 520";"windows";2.1;23816.16
99;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Nvidia";" GeForce GTX 1050";"windows";2.6;46833.12
100;"Lenovo";"2 in 1 Convertible";13.9;1920;1080;1;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.4;57489.12
101;"Dell";"Ultrabook";13.3;3840;2160;1;"Intel";"Core i7";1.8;16;"0";"1024";"SSD";"Intel";" UHD Graphics 620";"windows";1.2;133146.72
102;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"0";"512";"SSD";"Nvidia";" GeForce GTX 1050";"windows";2.6;66560.5728
103;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"0";"512";"SSD";"Nvidia";" GeForce MX150";"windows";1.3;79653.6
104;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 1070";"windows";2.8;111834.72
105;"Acer";"Notebook";15.6;1920;1080;0;"AMD";"A8-Series 7410";2.2;8;"0";"256";"SSD";"AMD";" Radeon R5";"windows";2.2;24988.32
106;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"0";"1024";"Hybrid";"Nvidia";" GeForce GTX 1050";"windows";2.6;47898.72
107;"Asus";"2 in 1 Convertible";11.6;1366;768;1;"Intel";"Celeron Dual";1.1;2;"0";"32";"Flash Storage";"Intel";" HD Graphics 500";"windows";1.1;14652.0
108;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"0";"128";"SSD";"Intel";" HD Graphics 620";"windows";1.9;26533.44
109;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 1060";"windows";2.8;100699.2
110;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;41025.6
111;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"2048";"128";"Hybrid";"AMD";" Radeon 530";"windows";2.2;52480.8
112;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"0";"500";"HDD";"Intel";" HD Graphics 620";"N/A";1.9;20986.992
113;"HP";"Notebook";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"0";"1024";"HDD";"Intel";" HD Graphics 620";"windows";2.0;29783.52
114;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"500";"HDD";"Intel";" HD Graphics 520";"N/A";1.9;18381.0672
115;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"0";"256";"SSD";"Nvidia";" GeForce GTX 1080";"windows";3.6;159786.72
116;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"1024";"128";"Hybrid";"AMD";" Radeon 530";"windows";2.3;44968.32
117;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"0";"500";"HDD";"Intel";" UHD Graphics 620";"windows";1.5;35964.0
118;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"0";"256";"SSD";"AMD";" Radeon Pro 555";"macos";1.8;130001.6016
119;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"0";"256";"SSD";"AMD";" Radeon R5 M430";"windows";2.2;26581.392
120;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"0";"512";"SSD";"Intel";" Iris Plus Graphics 650";"macos";1.4;108691.2
121;"HP";"2 in 1 Convertible";13.3;3840;2160;1;"Intel";"Core i7";1.8;16;"0";"1024";"SSD";"Intel";" UHD Graphics 620";"windows";1.3;130482.72
122;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"0";"256";"SSD";"Intel";" HD Graphics 615";"macos";0.9;67260.672
123;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"0";"256";"SSD";"Intel";" Iris Plus Graphics 640";"macos";1.4;80908.344
124;"Lenovo";"Notebook";13.3;1366;768;0;"Intel";"Celeron Dual";1.6;4;"0";"16";"Flash Storage";"Intel";" HD Graphics 510";"other";1.5;24503.472
125;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";2.0;52214.4
126;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"0";"1024";"HDD";"Intel";" UHD Graphics 620";"windows";2.1;43636.32
127;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"1024";"256";"Hybrid";"Nvidia";" GeForce GTX 980M";"windows";4.3;95850.72
128;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"AMD";" Radeon R5 M430";"windows";2.2;39693.6
129;"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"0";"1024";"HDD";"AMD";" Radeon R5 M420";"windows";1.7;24988.32
130;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"0";"512";"SSD";"AMD";" Radeon Pro 560";"macos";1.8;152274.24
131;"Acer";"Notebook";11.6;1366;768;0;"Intel";"Pentium Quad";1.6;4;"0";"128";"Flash Storage";"Intel";" HD Graphics 405";"windows";1.4;25840.8
132;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.5;68837.76
133;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"0";"1024";"HDD";"Nvidia";" GeForce 940MX";"N/A";2.2;26586.72
134;"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"0";"128";"SSD";"Intel";" UHD Graphics 620";"windows";1.2;52161.12
135;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"1024";"128";"Hybrid";"Nvidia";" GeForce GTX 1050";"windows";2.5;53226.72
136;"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"0";"500";"HDD";"AMD";" Radeon R2";"N/A";1.9;13746.24
137;"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;4;"0";"1024";"HDD";"Nvidia";" GeForce 920MX";"windows";2.8;31381.92
138;"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";2.0;58288.32
139;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;43636.32
140;"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.7;4;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.5;57648.96
141;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.9;35111.52
142;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";1.8;8;"0";"1024";"HDD";"Intel";" UHD Graphics 620";"windows";2.1;48058.56
143;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A12-Series 9720P";2.7;8;"0";"256";"SSD";"AMD";" Radeon RX 540";"windows";2.2;35111.52
144;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"0";"1024";"HDD";"Intel";" HD Graphics 520";"windows";2.3;22305.1392
145;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;6;"0";"256";"SSD";"AMD";" Radeon 520";"windows";1.9;32980.32
146;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"0";"128";"Flash Storage";"Intel";" HD Graphics 6000";"macos";1.4;58554.72
147;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"AMD";" Radeon 530";"windows";2.2;42624.0
148;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";2.4;4;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.7;33513.12
149;"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"0";"32";"Flash Storage";"Intel";" HD Graphics 500";"windows";1.4;15557.76
150;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.1;70063.2
151;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;6;"0";"1024";"HDD";"Intel";" HD Graphics 620";"windows";8.2;29250.72
152;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"256";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.9;69157.44
153;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"0";"256";"SSD";"Intel";" UHD Graphics 620";"windows";1.6;55890.72
154;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"0";"1024";"HDD";"Nvidia";" GeForce 930MX";"windows";2.5;47738.88
155;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Nvidia";" GeForce 940MX";"windows";1.7;55938.672
156;"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"0";"64";"Flash Storage";"Intel";" HD Graphics";"windows";1.9;13053.0672
157;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.2;4;"0";"500";"HDD";"Intel";" HD Graphics 520";"windows";2.1;23816.16
158;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series E2-6110";1.5;2;"0";"32";"Flash Storage";"AMD";" Radeon R2";"windows";1.7;10602.72
159;"HP";"Ultrabook";12.5;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.3;71128.8
160;"Dell";"Notebook";15.6;3840;2160;1;"Intel";"Core i7";2.8;32;"0";"1024";"SSD";"Nvidia";" GeForce GTX 1050";"windows";2.1;140605.92
161;"HP";"Notebook";17.3;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"0";"500";"HDD";"AMD";" Radeon 530";"windows";2.7;23389.92
162;"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"0";"1024";"HDD";"AMD";" Radeon R5 M420";"windows";2.0;21471.84
